route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,0,"1","Zap.kol. - Borongaj",,0,,"ffffff","000000"
2,0,"2","Črnomerec - Savišće",,0,,"ffffff","000000"
3,0,"3","Ljubljanica -Savišće",,0,,"ffffff","000000"
4,0,"4","Savski most - Dubec",,0,,"ffffff","000000"
5,0,"5","Prečko-Park Maksimir",,0,,"ffffff","000000"
6,0,"6","Črnomerec - Sopot",,0,,"ffffff","000000"
7,0,"7","Savski most-Dubrava",,0,,"ffffff","000000"
8,0,"8","Mihaljevac - Zapruđe",,0,,"ffffff","000000"
9,0,"9","Ljubljanica-Borongaj",,0,,"ffffff","000000"
11,0,"11","Črnomerec - Dubec",,0,,"ffffff","000000"
12,0,"12","Ljubljanica -Dubrava",,0,,"ffffff","000000"
13,0,"13","Žitnjak - Kvater.trg",,0,,"ffffff","000000"
14,0,"14","Mihaljevac-Zapruđe",,0,,"ffffff","000000"
15,0,"15","Mihalj.- Grač. dolje",,0,,"ffffff","000000"
17,0,"17","Prečko - Borongaj",,0,,"ffffff","000000"
31,0,"31","Črnomerec - Sav.most",,0,,"ffffff","000000"
32,0,"32","Prečko - Borongaj",,0,,"ffffff","000000"
33,0,"33","Mihaljevac - Savišće",,0,,"ffffff","000000"
34,0,"34","Ljubljanica - Dubec",,0,,"ffffff","000000"
101,0,"101","Brit.trg-G.Prekrižje",,3,,"ffffff","000000"
102,0,"102","Brit.trg-Mihaljevac",,3,,"ffffff","000000"
103,0,"103","Brit.trg-Kraljevec",,3,,"ffffff","000000"
104,0,"104","Miha.-Dom Ksaver",,3,,"ffffff","000000"
105,0,"105","Kaptol-Britanski trg",,3,,"ffffff","000000"
106,0,"106","Kaptol-Mirog.-Krem.",,3,,"ffffff","000000"
107,0,"107","Jankomir - Žitnjak",,3,,"ffffff","000000"
108,0,"108","Gl.kol.-Savski most",,3,,"ffffff","000000"
109,0,"109","Črnomerec - Dugave",,3,,"ffffff","000000"
110,0,"110","Savski most-Botinec",,3,,"ffffff","000000"
111,0,"111","Zag.(S.m.)-D.S.-S.O.",,3,,"ffffff","000000"
112,0,"112","Savski most - Lučko",,3,,"ffffff","000000"
113,0,"113","Ljubljanica - Jarun",,3,,"ffffff","000000"
114,0,"114","Ljubljanica - Prečko",,3,,"ffffff","000000"
115,0,"115","Ljub.-Špansko-Jank.",,3,,"ffffff","000000"
116,0,"116","Ljublj.-Podsus. most",,3,,"ffffff","000000"
117,0,"117","Črnomerec - Jarun",,3,,"FFFFFF","000000"
118,0,"118","Trg Mažuran.-Voltino",,3,,"ffffff","000000"
119,0,"119","Črnom.-Podsused most",,3,,"ffffff","000000"
120,0,"120","Črn.-Gajnice-Prečko",,3,,"ffffff","000000"
121,0,"121","Črn.-Karaž.-Gajnice",,3,,"ffffff","000000"
122,0,"122","Črn.-Podsused centar",,3,,"ffffff","000000"
123,0,"123","Črnomerec-Pods.dolje",,3,,"ffffff","000000"
124,0,"124","Črnomerec-G.Stenjev.",,3,,"ffffff","000000"
125,0,"125","Črnomerec-G.Vrapče",,3,,"ffffff","000000"
126,0,"126","Črnom.-G.K.- Krvarić",,3,,"ffffff","000000"
127,0,"127","Črnomerec-Mikulići",,3,,"ffffff","000000"
128,0,"128","Črnomerec-Lukšić",,3,,"ffffff","000000"
129,0,"129","Kuniščak.-Šest.dol",,3,,"ffffff","000000"
130,0,"130","Črnomerec-Borčec",,3,,"ffffff","000000"
131,0,"131","Črnomerec-Bizek",,3,,"ffffff","000000"
132,0,"132","S. most-G.Breg-Brez.",,3,,"ffffff","000000"
133,0,"133","S.most-Sv.Klara-Čehi",,3,,"ffffff","000000"
134,0,"134","Črnomerec-Prečko",,3,,"ffffff","000000"
135,0,"135","Črnomerec - Graberje",,3,,"ffffff","000000"
136,0,"136","Črnomerec-Špansko",,3,,"ffffff","000000"
137,0,"137","Črn.-Donji Borčec",,3,,"ffffff","000000"
138,0,"138","Brit.trg-Zel.-Brit.",,3,,"ffffff","000000"
139,0,"139","Reljk-Jelenovac-Relj",,3,,"ffffff","000000"
140,0,"140","Mihaljevac-Sljeme",,3,,"ffffff","000000"
141,0,"141","Relj.-Vinogradi-Relj",,3,,"ffffff","000000"
142,0,"142","Vrap.al.-Jač.-Vr.al.",,3,,"ffffff","000000"
143,0,"143","Vrapčan.aleja-Orešje",,3,,"ffffff","000000"
144,0,"144","Črnom.-Dom Sv. Josip",,3,,"ffffff","000000"
145,0,"145","Vrapč.aleja-Oranice",,3,,"ffffff","000000"
146,0,"146","Reljkov.-Jankomir",,3,,"ffffff","000000"
147,0,"147","Vrapč. aleja-Dolec",,3,,"ffffff","000000"
148,0,"148","Relj.-Herc.-Bos.-Rel",,3,,"ffffff","000000"
149,0,"149","Kuniščak - Vidovčica",,3,,"ffffff","000000"
150,0,"150","Tuš.gar.-G.g.-Trg J.",,3,,"ffffff","000000"
151,0,"151","Zavr.-Trg S. Severa",,3,,"ffffff","000000"
152,0,"152","Vidovčica-Vrhovec",,3,,"FFFFFF","000000"
159,0,"159","S.most-Strm.Odranski",,3,,"ffffff","000000"
160,0,"160","S.most-Lipnica-H. S.",,3,,"ffffff","000000"
161,0,"161","S.m.-Kup.Kr.-Štrpet",,3,,"ffffff","000000"
162,0,"162","S. most - Ašpergeri",,3,,"ffffff","000000"
163,0,"163","S.m.-D.Trp.-G.Trp.",,3,,"ffffff","000000"
164,0,"164","Zag.(S.m.)-Horvati",,3,,"ffffff","000000"
166,0,"166","Zg.(Gl.k.)-D.Dragon.",,3,,"ffffff","000000"
